instance_encoder_num_hidden_layers,instance_decoder_num_hidden_layers,configuration_encoder_num_hidden_layers,performance_num_hidden_layers,activation,num_hidden_units,epoch,feature_loss,loss,parameter_loss,performance_loss,val_feature_loss,val_loss,val_parameter_loss,val_performance_loss
1,0,3,3,tanh,16,1,0.7320103049278259,1.0919928550720217,1.0110067129135132,0.0359886959195137,0.615593433380127,0.8851100206375122,1.0099085569381714,0.0268716141581535
1,0,3,3,tanh,16,2,0.6055824160575867,0.8218172192573547,1.0087441205978394,0.0216224826872348,0.5983664393424988,0.81940758228302,1.0081257820129397,0.0220392495393753
1,0,3,3,tanh,16,3,0.5911884307861328,0.7826534509658813,1.00811767578125,0.0191457830369472,0.5826249718666077,0.7890547513961792,1.0062965154647827,0.0205740761011838
1,0,3,3,tanh,16,4,0.5758726596832275,0.7575060725212097,1.0073312520980835,0.01816345192492,0.5671862363815308,0.7651270031929016,1.003961443901062,0.019726863130927
1,0,3,3,tanh,16,5,0.5636998414993286,0.7382116317749023,1.006985425949097,0.0174517948180437,0.5587958693504333,0.7497820258140564,1.0034633874893188,0.0190342143177986
1,0,3,3,tanh,16,6,0.5583876967430115,0.7245687246322632,1.0068409442901611,0.0166184809058904,0.5560060739517212,0.7386510372161865,1.0053350925445557,0.0182022862136364
1,0,3,3,tanh,16,7,0.5567265152931213,0.7141876816749573,1.005732774734497,0.0157460514456033,0.5548706650733948,0.7290520071983337,1.0039647817611694,0.0173567794263362
1,0,3,3,tanh,16,8,0.55594402551651,0.7057610750198364,1.0043718814849854,0.0149813033640384,0.5538365840911865,0.7226462364196777,1.0034879446029663,0.0168252605944871
1,0,3,3,tanh,16,9,0.5551967620849609,0.6991568207740784,1.0045549869537354,0.0143958292901515,0.5530151724815369,0.7172058820724487,1.0037091970443726,0.0163705311715602
1,0,3,3,tanh,16,10,0.5543191432952881,0.693610429763794,1.0049535036087036,0.0139296138659119,0.5523764491081238,0.7124142646789551,1.003625988960266,0.0159612614661455
1,0,0,1,leaky_relu,16,1,0.8879913687705994,1.3510490655899048,1.016607642173767,0.0462883189320564,0.6428694128990173,0.9251946210861206,1.018369436264038,0.0281232744455337
1,0,0,1,leaky_relu,16,2,0.5884382128715515,0.8337078094482422,1.0148262977600098,0.0245279669761657,0.5624736547470093,0.7991646528244019,1.0155959129333496,0.0235594343394041
1,0,0,1,leaky_relu,16,3,0.5563024878501892,0.7659409046173096,1.011056900024414,0.0209653116762638,0.5524773001670837,0.7644708752632141,1.0126217603683472,0.0211068224161863
1,0,0,1,leaky_relu,16,4,0.5508444905281067,0.7413482069969177,1.0101721286773682,0.0190515909343957,0.5500303506851196,0.7478410601615906,1.012441873550415,0.0197019800543785
1,0,0,1,leaky_relu,16,5,0.5494867563247681,0.7272937297821045,1.0104140043258667,0.0177811738103628,0.549807071685791,0.7358508706092834,1.012268304824829,0.0185340549796819
