instance_encoder_num_hidden_layers,instance_decoder_num_hidden_layers,configuration_encoder_num_hidden_layers,activation,num_hidden_units,epoch,feature_loss,loss,parameter_loss,performance_loss,val_feature_loss,val_loss,val_parameter_loss,val_performance_loss
3,2,0,tanh,16,5,0.3735082745552063,0.8928636908531189,0.9973539113998413,0.05194344371557236,0.3742068111896515,0.910053551197052,0.9993912577629089,0.05354391410946846
3,2,0,tanh,16,6,0.3670087158679962,0.8827473521232605,0.9972534775733948,0.05158087983727455,0.3671090304851532,0.898905336856842,0.999310314655304,0.05314451828598976
3,2,0,tanh,16,7,0.35969018936157227,0.8734362125396729,0.9971686601638794,0.05138065665960312,0.35889574885368347,0.8880876302719116,0.999234139919281,0.05289492756128311
3,2,0,tanh,16,8,0.3498482406139374,0.8626933693885803,0.9970748424530029,0.051289383322000504,0.34606054425239563,0.8748437166213989,0.9991389513015747,0.052864592522382736
3,2,0,tanh,16,9,0.3353882431983948,0.8484020829200745,0.9969371557235718,0.05130544304847717,0.3297675848007202,0.8601498603820801,0.9988991022109985,0.0530327633023262
3,2,0,tanh,16,10,0.31620898842811584,0.8306861519813538,0.9966135621070862,0.051452502608299255,0.313118040561676,0.8448978662490845,0.9984521269798279,0.05317719280719757
2,2,2,leaky_relu,64,1,0.44052478671073914,0.9542989134788513,1.0001325607299805,0.05136925354599953,0.3581252992153168,0.8716781139373779,1.001347541809082,0.05131540447473526
2,2,2,leaky_relu,64,2,0.3127676844596863,0.7885428667068481,1.000002384185791,0.0475776307284832,0.29307883977890015,0.7942736148834229,1.001341700553894,0.05011826381087303
2,2,2,leaky_relu,64,3,0.2721668779850006,0.740655243396759,0.9998986124992371,0.046850092709064484,0.26068928837776184,0.7544817924499512,1.0012774467468262,0.04939856007695198
2,2,2,leaky_relu,64,4,0.25082123279571533,0.7148081660270691,0.9998387098312378,0.04639961197972298,0.24575501680374146,0.735470175743103,1.0012242794036865,0.049003247171640396
2,2,2,leaky_relu,64,5,0.23784774541854858,0.6981889605522156,0.9998613595962524,0.04603502154350281,0.2339325100183487,0.719822347164154,1.0011988878250122,0.04862571880221367
2,2,2,leaky_relu,64,6,0.22725547850131989,0.6843850612640381,0.9998680353164673,0.04571408033370972,0.22627601027488708,0.7071518301963806,1.001208782196045,0.048134736716747284
2,2,2,leaky_relu,64,7,0.21826308965682983,0.6722550988197327,0.999922513961792,0.04540099576115608,0.21903949975967407,0.6965910792350769,1.001225471496582,0.04780929163098335
2,2,2,leaky_relu,64,8,0.2095029503107071,0.6607508063316345,0.9999692440032959,0.04512713477015495,0.21171937882900238,0.6862947940826416,1.0012606382369995,0.04752092808485031
2,2,2,leaky_relu,64,9,0.20215745270252228,0.650773286819458,0.9999971389770508,0.04486457630991936,0.2044408619403839,0.6771469116210938,1.001224160194397,0.04733475297689438
2,2,2,leaky_relu,64,10,0.19527463614940643,0.6416125893592834,1.0000152587890625,0.04463638365268707,0.20024624466896057,0.671405017375946,1.0012438297271729,0.04717935249209404
1,1,1,leaky_relu,16,1,0.6641907095909119,1.3152350187301636,0.999635636806488,0.06510628759860992,0.500369668006897,1.0491689443588257,0.9960717558860779,0.054874859750270844
1,1,1,leaky_relu,16,2,0.456392765045166,0.9763466119766235,0.9960980415344238,0.052014321088790894,0.44487014412879944,0.9903874397277832,0.9972102642059326,0.05452907085418701
1,1,1,leaky_relu,16,3,0.4255409836769104,0.9398000836372375,0.9963565468788147,0.05144503712654114,0.4305567145347595,0.9736839532852173,0.9971086978912354,0.05427824333310127
1,1,1,leaky_relu,16,4,0.4151528477668762,0.9258219003677368,0.9960514307022095,0.05108608677983284,0.42082124948501587,0.9617816805839539,0.9968057870864868,0.054054997861385345
1,1,1,leaky_relu,16,5,0.40726107358932495,0.9148178696632385,0.9957185387611389,0.05077481269836426,0.41271936893463135,0.9490824341773987,0.9965364336967468,0.05359092354774475
1,1,1,leaky_relu,16,6,0.39858120679855347,0.9014641046524048,0.9954471588134766,0.0503070205450058,0.40283212065696716,0.9337069392204285,0.996470034122467,0.05304982140660286
1,1,1,leaky_relu,16,7,0.3884972631931305,0.8865773677825928,0.995448112487793,0.049826446920633316,0.39302024245262146,0.9210718274116516,0.9966717958450317,0.05277705192565918
1,1,1,leaky_relu,16,8,0.3785487115383148,0.8744633197784424,0.9956350326538086,0.04960951581597328,0.3845355212688446,0.9110037684440613,0.9969815611839294,0.052626512944698334
1,1,1,leaky_relu,16,9,0.36986061930656433,0.8643925189971924,0.9958300590515137,0.04947066307067871,0.37621062994003296,0.9020604491233826,0.9972883462905884,0.0525708943605423
1,1,1,leaky_relu,16,10,0.362011194229126,0.8560258150100708,0.9959944486618042,0.049417752772569656,0.3696132004261017,0.8959775567054749,0.9975444078445435,0.05262525752186775
1,0,2,relu,16,1,0.8448410630226135,1.4414513111114502,0.9961163997650146,0.059656232595443726,0.6730366945266724,1.2141516208648682,0.9960223436355591,0.05404287204146385
1,0,2,relu,16,2,0.6194661855697632,1.1191734075546265,0.9959181547164917,0.04997233673930168,0.5861957669258118,1.0980849266052246,0.996441125869751,0.05112040042877197
1,0,2,relu,16,3,0.5730621814727783,1.0583471059799194,0.9960464835166931,0.04852919653058052,0.5530641078948975,1.0599318742752075,0.9967742562294006,0.05059487000107765
1,0,2,relu,16,4,0.542344868183136,1.0275843143463135,0.9963354468345642,0.0485248826444149,0.5233429670333862,1.0366461277008057,0.9972140789031982,0.05120466649532318
1,0,2,relu,16,5,0.512765645980835,1.0045970678329468,0.9966234564781189,0.0491848923265934,0.49921461939811707,1.0205681324005127,0.9975024461746216,0.051998626440763474
1,0,2,relu,16,6,0.4898424446582794,0.9877145290374756,0.9968268275260925,0.049789801239967346,0.48175692558288574,1.0101057291030884,0.9975675940513611,0.05269797146320343
1,0,2,relu,16,7,0.47386541962623596,0.9768840670585632,0.9968892335891724,0.050304826349020004,0.4689505994319916,1.0038926601409912,0.9976260662078857,0.05336229130625725
1,0,2,relu,16,8,0.46284177899360657,0.9691499471664429,0.9969482421875,0.050634004175662994,0.45995447039604187,0.999579906463623,0.9976657032966614,0.053834423422813416
1,0,2,relu,16,9,0.454608291387558,0.9633452296257019,0.9969742894172668,0.0508776530623436,0.452782541513443,0.9968843460083008,0.9974983930587769,0.05429019406437874
1,0,2,relu,16,10,0.44794216752052307,0.9587464928627014,0.9970217347145081,0.051084235310554504,0.44754892587661743,0.9941324591636658,0.9975542426109314,0.05454305559396744
0,0,0,leaky_relu,16,1,1.0165445804595947,2.2038655281066895,1.0135490894317627,0.1186995878815651,0.8963624238967896,1.5831263065338135,1.0090937614440918,0.06859704852104187
0,0,0,leaky_relu,16,2,0.7435567378997803,1.372779130935669,1.0099422931671143,0.06292636692523956,0.6227879524230957,1.279619812965393,1.0114346742630005,0.06565012037754059
